date,open,high,low,close,volume,tic,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma
2018-12-07,145.49000549316406,147.33999633789062,144.1199951171875,133.4576873779297,9444500,JNJ,4,0.0,133.60029610058808,133.15908805468536,0.0,-66.66666666666836,100.0,133.4576873779297,133.4576873779297
2018-12-07,22.0,22.75,18.510000228881836,18.600000381469727,12995600,MRNA,4,0.0,133.60029610058808,133.15908805468536,0.0,-66.66666666666836,100.0,18.600000381469727,18.600000381469727
2018-12-07,42.523719787597656,42.637569427490234,41.44212341308594,36.86742401123047,27963885,PFE,4,0.0,133.60029610058808,133.15908805468536,0.0,-66.66666666666836,100.0,36.86742401123047,36.86742401123047
2018-12-07,269.4599914550781,271.2200012207031,262.6300048828125,248.36300659179688,161018900,SPY,4,0.0,133.60029610058808,133.15908805468536,0.0,-66.66666666666836,100.0,248.36300659179688,248.36300659179688
2018-12-10,145.38999938964844,145.8800048828125,142.3800048828125,133.30169677734375,6848100,JNJ,0,-0.0034997891157217964,133.60029610058808,133.15908805468536,0.0,-66.66666666666836,100.0,133.37969207763672,133.37969207763672
2018-12-10,18.899999618530273,19.43899917602539,18.0,18.799999237060547,4233300,MRNA,0,0.004487153811332689,18.982840903300772,18.4171587152295,100.0,-66.66666666666667,100.0,18.699999809265137,18.699999809265137
2018-12-10,41.87855911254883,42.27703857421875,40.86337661743164,37.27034378051758,26187895,PFE,0,0.009039866618614667,37.638698498148095,36.49906929359995,100.0,-66.66666666666667,100.0,37.06888389587402,37.06888389587402
2018-12-10,263.3699951171875,265.1600036621094,258.6199951171875,248.8341827392578,151445900,SPY,0,0.010571259718659576,249.2649383635333,247.93225096752138,100.0,-66.66666666666549,100.0,248.59859466552734,248.59859466552734
2018-12-11,146.2899932861328,148.2100067138672,145.7899932861328,134.4396209716797,9857400,JNJ,1,0.030827535181146004,134.9668029144901,132.49920050347865,88.29912732953207,99.99999999999878,17.744217251529957,133.73300170898438,133.73300170898438
2018-12-11,20.549999237060547,20.65999984741211,17.989999771118164,18.010000228881836,3435300,MRNA,1,-0.01878029737603626,19.29146131167559,17.64853858659915,19.66094639737605,-40.741799187399096,43.808062441549176,18.46999994913737,18.46999994913737
