,Date, Open, High, Low, Close, Volume,change,Senti
85,01/08/21,160.51,161.1,159.88,160.04,8228938,0.6699999999999875,1
86,01/07/21,159.0,161.03,158.35,160.37,7747161,0.3300000000000125,1
87,01/06/21,157.24,160.23,156.72,159.83,8230086,-0.539999999999992,-1
88,01/05/21,156.25,158.76,155.07,158.34,9602290,-1.490000000000009,-1
89,01/04/21,157.24,157.38,154.13,156.5,11765870,-1.8400000000000034,-1
90,12/31/20,156.53,157.66,155.1098,157.38,5099880,0.8799999999999955,1
91,12/30/20,154.74,156.38,154.6,156.05,5412775,-1.329999999999984,-1
92,12/29/20,154.11,154.93,153.8,154.14,5211972,-1.910000000000025,-1
93,12/28/20,153.32,153.87,152.3,153.19,3855466,-0.9499999999999886,-1
94,12/24/20,151.85,153.04,151.82,152.47,2114901,-0.7199999999999989,-1
95,12/23/20,152.8,153.60299999999998,151.9,151.94,4607275,-0.5300000000000011,-1
96,12/22/20,152.4,153.9,151.86,152.72,4703185,0.7800000000000011,1
97,12/21/20,152.01,153.41,150.05,153.02,7893359,0.30000000000001137,1
98,12/18/20,153.65,155.1,151.67,154.51,17137230,1.4899999999999807,1
99,12/17/20,150.09,153.885,149.955,153.62,9920312,-0.8899999999999864,-1
100,12/16/20,150.2,150.92,149.55,149.67,8486069,-3.950000000000017,-1
101,12/15/20,150.0,150.75,149.53,150.57,7614746,0.9000000000000057,1
102,12/14/20,153.25,153.48,148.99,149.07,8547296,-1.5,-1
103,12/11/20,151.53,153.41,151.23,152.95,5973255,3.8799999999999955,1
104,12/10/20,152.82,152.98,151.68,152.25,7392928,-0.6999999999999886,-1
105,12/09/20,152.83,153.5,151.755,153.1,8440069,0.8499999999999943,1
106,12/08/20,150.0,152.14,149.55,151.55,8339847,-1.549999999999983,-1
107,12/07/20,149.35,149.91,148.51,148.97,6634743,-2.5800000000000125,-1
108,12/04/20,149.79,150.31,149.27,150.27,6747083,1.3000000000000114,1
109,12/03/20,148.04,149.58,147.69,149.0,7310486,-1.2700000000000102,-1
110,12/02/20,147.85,149.71,147.7,148.14,7745516,-0.8600000000000136,-1
111,12/01/20,146.29,149.13,145.86,147.45,9741260,-0.6899999999999977,-1
112,11/30/20,144.23,144.86,143.06,144.68,15663240,-2.769999999999982,-1
113,11/27/20,144.5,144.6583,143.22,144.0,3059001,-0.6800000000000068,-1
114,11/25/20,144.06,144.17,142.86,143.68,7594618,-0.3199999999999932,-1
115,11/24/20,144.0,144.765,143.61,143.87,11038820,0.18999999999999773,1
116,11/23/20,146.01,146.01,143.04,143.87,7318255,0.0,0
117,11/20/20,147.05,147.94,146.13,146.36,6356142,2.490000000000009,1
118,11/19/20,147.3,147.46,145.5869,147.14,7987716,0.7799999999999727,1
119,11/18/20,148.87,149.76,147.37,147.37,6661008,0.2300000000000182,1
