datetime,weighted_sent_score,tic,source
2020-01-02,-3.0,JNJ,JNJ_news_tweets
2020-01-04,-4.0,JNJ,JNJ_news_tweets
2020-01-05,-4.0,JNJ,JNJ_news_tweets
2020-01-17,-2.0,JNJ,JNJ_news_tweets
2020-01-19,-2.0,JNJ,JNJ_news_tweets
2020-01-20,1.0,JNJ,JNJ_news_tweets
2020-01-22,1.1578947368421053,JNJ,JNJ_news_tweets
2020-01-27,1.0,JNJ,JNJ_news_tweets
2020-01-29,-1.0,JNJ,JNJ_news_tweets
2020-01-31,0.0,JNJ,JNJ_news_tweets
2020-02-01,0.0,JNJ,JNJ_news_tweets
2020-02-02,0.0,JNJ,JNJ_news_tweets
2020-02-25,-1.5384615384615383,JNJ,JNJ_news_tweets
2020-03-05,0.0,JNJ,JNJ_news_tweets
2020-03-10,0.0,JNJ,JNJ_news_tweets
2020-03-12,-2.0,JNJ,JNJ_news_tweets
2020-03-15,0.0,JNJ,JNJ_news_tweets
2020-03-30,-1.3222124670763826,JNJ,JNJ_news_tweets
2020-04-07,0.0,JNJ,JNJ_news_tweets
2020-04-09,0.0,JNJ,JNJ_news_tweets
2020-04-13,0.0,JNJ,JNJ_news_tweets
2020-04-14,1.8244897959183675,JNJ,JNJ_news_tweets
2020-04-16,0.0,JNJ,JNJ_news_tweets
2020-04-19,0.0,JNJ,JNJ_news_tweets
2020-04-22,2.0,JNJ,JNJ_news_tweets
2020-04-24,0.0,JNJ,JNJ_news_tweets
2020-04-28,2.0,JNJ,JNJ_news_tweets
2020-05-01,-1.0,JNJ,JNJ_news_tweets
2020-05-04,0.0,JNJ,JNJ_news_tweets
2020-05-05,0.0,JNJ,JNJ_news_tweets
2020-05-12,0.0,JNJ,JNJ_news_tweets
2020-05-18,3.0,JNJ,JNJ_news_tweets
2020-05-19,-0.4117647058823529,JNJ,JNJ_news_tweets
2020-05-20,-5.0,JNJ,JNJ_news_tweets
2020-06-03,0.29508196721311475,JNJ,JNJ_news_tweets
2020-06-04,0.0,JNJ,JNJ_news_tweets
2020-06-07,0.0,JNJ,JNJ_news_tweets
2020-06-10,0.0,JNJ,JNJ_news_tweets
2020-06-11,0.0,JNJ,JNJ_news_tweets
2020-06-19,3.0,JNJ,JNJ_news_tweets
2020-06-23,-10.0,JNJ,JNJ_news_tweets
2020-06-25,0.0,JNJ,JNJ_news_tweets
2020-06-26,3.2727272727272725,JNJ,JNJ_news_tweets
2020-06-28,4.0,JNJ,JNJ_news_tweets
2020-07-16,0.0,JNJ,JNJ_news_tweets
2020-07-17,0.0,JNJ,JNJ_news_tweets
2020-07-23,0.0,JNJ,JNJ_news_tweets
2020-07-30,0.23655913978494625,JNJ,JNJ_news_tweets
2020-08-19,-0.21904761904761905,JNJ,JNJ_news_tweets
2020-08-20,0.0,JNJ,JNJ_news_tweets
2020-08-21,-3.4375,JNJ,JNJ_news_tweets
2020-09-03,-4.0,JNJ,JNJ_news_tweets
2020-09-04,-3.0,JNJ,JNJ_news_tweets
2020-09-08,3.0,JNJ,JNJ_news_tweets
2020-09-18,-4.0,JNJ,JNJ_news_tweets
2020-09-23,0.09786476868327403,JNJ,JNJ_news_tweets
2020-09-26,-4.0,JNJ,JNJ_news_tweets
2020-10-02,0.0,JNJ,JNJ_news_tweets
2020-10-07,2.0,JNJ,JNJ_news_tweets
2020-10-13,-1.412037037037037,JNJ,JNJ_news_tweets
2020-10-14,0.5555555555555556,JNJ,JNJ_news_tweets
2020-10-23,0.0,JNJ,JNJ_news_tweets
2020-10-24,0.0,JNJ,JNJ_news_tweets
2020-10-25,0.0,JNJ,JNJ_news_tweets
2020-11-05,0.0,JNJ,JNJ_news_tweets
2020-11-16,0.0,JNJ,JNJ_news_tweets
2020-11-17,6.0,JNJ,JNJ_news_tweets
2020-11-23,1.0,JNJ,JNJ_news_tweets
2020-12-08,-0.3529411764705883,JNJ,JNJ_news_tweets
2021-01-13,4.298245614035087,JNJ,JNJ_news_tweets
2021-01-14,2.0,JNJ,JNJ_news_tweets
2021-01-15,2.0,JNJ,JNJ_news_tweets
