,date,weighted_sent_score,tic
139,2020-05-30,0.0,JNJ
140,2020-05-31,2.0,JNJ
141,2020-06-01,0.0,JNJ
142,2020-06-02,-10.0,JNJ
143,2020-06-04,2.0,JNJ
144,2020-06-07,2.0,JNJ
145,2020-06-08,-8.0,JNJ
146,2020-06-10,-2.0,JNJ
147,2020-06-11,0.6016260162601625,JNJ
148,2020-06-12,0.0,JNJ
149,2020-06-15,0.0,JNJ
150,2020-06-16,9.0,JNJ
151,2020-06-17,1.9624217118997915,JNJ
152,2020-06-18,2.3628318584070795,JNJ
153,2020-06-19,-0.8421052631578947,JNJ
154,2020-06-20,2.253798033958892,JNJ
155,2020-06-21,-2.0,JNJ
156,2020-06-22,0.0,JNJ
157,2020-06-25,0.0,JNJ
158,2020-06-26,0.0,JNJ
159,2020-06-27,4.0,JNJ
160,2020-06-29,2.117647058823529,JNJ
161,2020-06-30,2.347826086956521,JNJ
162,2020-07-01,-0.6849315068493151,JNJ
163,2020-07-02,1.0,JNJ
164,2020-07-03,-2.0,JNJ
165,2020-07-04,-3.0,JNJ
166,2020-07-06,2.0,JNJ
167,2020-07-07,1.0,JNJ
168,2020-07-08,4.918918918918919,JNJ
169,2020-07-09,2.0,JNJ
170,2020-07-10,2.0,JNJ
171,2020-07-11,4.0,JNJ
172,2020-07-13,1.648148148148148,JNJ
173,2020-07-14,1.7142857142857144,JNJ
174,2020-07-15,-0.9685759745425616,JNJ
175,2020-07-16,-0.2419354838709677,JNJ
176,2020-07-17,3.6319018404907975,JNJ
177,2020-07-18,0.0,JNJ
178,2020-07-20,0.1428571428571428,JNJ
179,2020-07-21,2.0,JNJ
180,2020-07-22,5.0,JNJ
181,2020-07-23,0.9111111111111112,JNJ
182,2020-07-24,0.0,JNJ
183,2020-07-27,-2.5,JNJ
184,2020-07-28,-1.0,JNJ
185,2020-07-29,1.0857142857142856,JNJ
186,2020-07-30,3.2865612648221343,JNJ
187,2020-07-31,0.0,JNJ
188,2020-08-01,-0.6956521739130435,JNJ
189,2020-08-02,0.0,JNJ
190,2020-08-05,3.0673076923076925,JNJ
191,2020-08-06,0.0,JNJ
192,2020-08-07,0.0,JNJ
193,2020-08-09,-2.0,JNJ
194,2020-08-10,3.0,JNJ
195,2020-08-11,2.0,JNJ
196,2020-08-12,2.0,JNJ
197,2020-08-13,0.0,JNJ
198,2020-08-14,0.1884057971014492,JNJ
199,2020-08-15,0.0,JNJ
200,2020-08-17,-0.7692307692307693,JNJ
201,2020-08-18,3.4705882352941178,JNJ
202,2020-08-19,8.0,JNJ
203,2020-08-20,0.1538461538461538,JNJ
204,2020-08-21,11.0,JNJ
205,2020-08-22,7.0,JNJ
206,2020-08-24,0.0,JNJ
207,2020-08-25,2.0,JNJ
208,2020-08-26,-2.918238993710692,JNJ
209,2020-08-27,2.0,JNJ
210,2020-08-28,2.0209150326797385,JNJ
211,2020-08-30,0.0,JNJ
212,2020-08-31,0.0,JNJ
213,2020-09-01,1.945597709377237,JNJ
214,2020-09-02,8.0,JNJ
215,2020-09-03,0.0,JNJ
216,2020-09-04,4.0,JNJ
217,2020-09-05,0.0,JNJ
218,2020-09-06,0.0,JNJ
219,2020-09-07,0.0,JNJ
220,2020-09-08,7.204819277108434,JNJ
221,2020-09-09,0.0,JNJ
222,2020-09-10,5.952380952380952,JNJ
223,2020-09-11,4.0,JNJ
224,2020-09-14,4.086956521739131,JNJ
225,2020-09-15,5.444444444444445,JNJ
226,2020-09-16,12.0,JNJ
227,2020-09-17,5.0724637681159415,JNJ
228,2020-09-18,-3.921077065923863,JNJ
229,2020-09-19,0.0,JNJ
230,2020-09-20,5.0,JNJ
231,2020-09-22,0.0,JNJ
232,2020-09-23,0.8424242424242424,JNJ
233,2020-09-24,0.0,JNJ
234,2020-09-25,0.0,JNJ
235,2020-09-26,1.668543120918712,JNJ
236,2020-09-28,2.7333333333333334,JNJ
237,2020-09-29,3.260869565217391,JNJ
238,2020-09-30,1.0832395950506186,JNJ
239,2020-10-01,5.0,JNJ
240,2020-10-02,2.333333333333333,JNJ
241,2020-10-03,-0.0399529964747356,JNJ
242,2020-10-04,5.0,JNJ
243,2020-10-05,0.0,JNJ
244,2020-10-06,0.0,JNJ
245,2020-10-07,0.2595628415300546,JNJ
246,2020-10-08,4.59375,JNJ
247,2020-10-09,1.0,JNJ
248,2020-10-10,-1.0,JNJ
249,2020-10-12,3.389830508474576,JNJ
250,2020-10-13,-1.0041293062765455,JNJ
251,2020-10-14,-0.962601078167116,JNJ
252,2020-10-15,-0.3076923076923077,JNJ
253,2020-10-16,1.3823529411764706,JNJ
254,2020-10-18,0.0,JNJ
255,2020-10-19,1.6744186046511629,JNJ
256,2020-10-21,6.0,JNJ
257,2020-10-22,5.0,JNJ
258,2020-10-23,-0.2602783554631259,JNJ
259,2020-10-26,2.0,JNJ
260,2020-10-27,2.0,JNJ
261,2020-10-28,-0.0043509789702683,JNJ
262,2020-10-29,0.9534883720930232,JNJ
263,2020-10-30,1.0,JNJ
264,2020-11-01,-2.0,JNJ
265,2020-11-05,0.0,JNJ
266,2020-11-09,1.0,JNJ
267,2020-11-10,2.0,JNJ
268,2020-11-11,0.0,JNJ
269,2020-11-12,3.1818181818181817,JNJ
270,2020-11-14,3.8333333333333335,JNJ
271,2020-11-15,-1.0,JNJ
272,2020-11-16,0.0643015521064301,JNJ
273,2020-11-17,2.82843137254902,JNJ
274,2020-11-18,0.8650306748466257,JNJ
275,2020-11-19,0.0,JNJ
276,2020-11-20,-1.666666666666667,JNJ
277,2020-11-22,0.0,JNJ
278,2020-11-23,1.5,JNJ
279,2020-11-24,0.0,JNJ
280,2020-11-25,1.0,JNJ
281,2020-11-30,0.027759634225996,JNJ
282,2020-12-01,1.0096296296296297,JNJ
283,2020-12-02,7.0,JNJ
284,2020-12-03,5.0,JNJ
285,2020-12-04,0.0,JNJ
286,2020-12-05,0.0,JNJ
287,2020-12-06,0.0,JNJ
288,2020-12-07,4.222222222222222,JNJ
289,2020-12-08,0.4700854700854701,JNJ
290,2020-12-09,5.166666666666666,JNJ
291,2020-12-10,-2.0,JNJ
292,2020-12-11,4.5600000000000005,JNJ
293,2020-12-12,0.0,JNJ
294,2020-12-13,0.0,JNJ
295,2020-12-14,3.0,JNJ
296,2020-12-15,5.0,JNJ
297,2020-12-16,1.0,JNJ
298,2020-12-18,0.0100633619083115,JNJ
299,2020-12-19,4.0,JNJ
300,2020-12-20,0.0,JNJ
301,2020-12-21,0.0003738384305906,JNJ
302,2020-12-22,4.0,JNJ
303,2020-12-23,8.0,JNJ
304,2020-12-24,0.0,JNJ
305,2020-12-28,1.0,JNJ
306,2020-12-29,3.5,JNJ
307,2020-12-30,-0.0129288910989557,JNJ
308,2021-01-01,0.0,JNJ
309,2021-01-02,0.3827160493827161,JNJ
310,2021-01-03,-0.7574217161447743,JNJ
311,2021-01-05,0.0,JNJ
312,2021-01-06,5.0,JNJ
313,2021-01-07,0.0,JNJ
314,2021-01-09,0.0,JNJ
315,2021-01-10,-0.0208067940552016,JNJ
316,2021-01-11,1.0,JNJ
317,2021-01-12,1.6403637430331477,JNJ
318,2021-01-13,0.8018047639924009,JNJ
319,2021-01-14,0.0043050430504305,JNJ
320,2021-01-15,0.0171719313122747,JNJ
321,2021-01-17,5.0,JNJ
322,2021-01-18,0.0348144754924416,JNJ
323,2021-01-20,0.0,JNJ
324,2021-01-21,-1.0,JNJ
325,2021-01-22,-0.6341463414634146,JNJ
326,2021-01-23,1.296301450888974,JNJ
327,2021-01-25,0.9832214765100672,JNJ
328,2021-01-26,-0.2970523537175539,JNJ
329,2021-01-27,0.057899599630428,JNJ
330,2021-01-28,0.0453273642977056,JNJ
331,2021-01-29,0.0111120981353318,JNJ
332,2021-01-30,0.1997679045092838,JNJ
333,2021-01-31,0.1130369253956292,JNJ
334,2021-02-01,0.1304347826086956,JNJ
335,2021-02-02,2.0548712206047037,JNJ
336,2021-02-03,0.0017262213015708,JNJ
337,2021-02-04,-1.362591031046378,JNJ
338,2021-02-05,1.689836135803791,JNJ
339,2021-02-07,0.0,JNJ
340,2021-02-08,9.0,JNJ
341,2021-02-09,-1.881711168532874,JNJ
342,2021-02-10,0.1912894961571306,JNJ
343,2021-02-11,0.0178571428571428,JNJ
344,2021-02-12,0.0,JNJ
345,2021-02-14,0.0,JNJ
346,2021-02-15,0.0,JNJ
347,2021-02-16,0.3598499061913696,JNJ
348,2021-02-17,4.074716981132076,JNJ
349,2021-02-18,0.1809458533241946,JNJ
350,2021-02-19,-0.2666666666666666,JNJ
351,2021-02-21,0.0,JNJ
352,2021-02-22,-1.7110941086457536,JNJ
353,2021-02-23,0.0041530054644808,JNJ
354,2021-02-24,0.2721592929344237,JNJ
355,2021-02-25,-1.0115591251967222,JNJ
356,2021-02-26,0.4279529993815708,JNJ
357,2021-02-27,-0.0912361801302053,JNJ
358,2021-02-28,1.69378550657654,JNJ
359,2021-03-01,-0.4232245183706277,JNJ
360,2021-03-02,2.14827019121654,JNJ
